id_project,name_project,project_desc,id_customer,due_project,createdAt,updatedAt,category_game,game
1,Ranked Game Boosting,Looking for a skilled player to help me rank up in competitive games.,23,2023-12-30,2023-12-19,2023-12-19,MOBA,League of Legends
2,Grinding Help,Need help leveling up my character or account in a game.,45,2024-01-15,2023-12-19,2023-12-19,RPG,Genshin Impact
3,Mentoring Help,Looking for someone to teach me how to play a game or improve my skills.,18,2024-02-01,2023-12-19,2023-12-19,FPS,Counter-Strike: Global Offensive
4,Item Farming,Need help farming items or resources in a game.,72,2024-02-15,2023-12-19,2023-12-19,MMO,World of Warcraft
5,Achievement Hunting,Looking for someone to help me complete achievements or challenges in a game.,36,2024-03-01,2023-12-19,2023-12-19,Simulation,The Sims 4
6,Guild Management,Need someone to organize and lead my guild in an online game.,123,2023-12-25,2023-12-20,2023-12-20,MMO,World of Warcraft
7,Raid Assistance,Need help beating a challenging raid or boss in a game.,456,2023-12-31,2023-12-21,2023-12-21,MMO,Final Fantasy XIV
8,Powerleveling,Need help leveling up my character quickly in a game.,789,2024-01-05,2023-12-22,2023-12-22,RPG,Diablo 3
9,Coaching Service,Need a skilled coach to analyze my gameplay and provide feedback.,1234,2024-01-10,2023-12-23,2023-12-23,FPS,Valorant
10,Custom Build Crafting,Need someone to help me build the perfect character or team for a game.,234,2024-02-01,2023-12-25,2023-12-25,MOBA,Dota 2
11,Account Selling,Need someone to safely and securely sell my in-game account.,456,2024-02-15,2023-12-26,2023-12-26,MMO,Guild Wars 2
12,Tournament Coaching,Looking for a coach to prepare our team for an upcoming gaming tournament.,567,2024-03-15,2023-12-27,2023-12-27,FPS,Call of Duty: Warzone
13,Cosmetic Item Farming,Need assistance in collecting rare cosmetic items in a game.,890,2024-03-31,2023-12-28,2023-12-28,MMO,Final Fantasy XIV
14,Quest Assistance,Require help completing challenging quests or missions in a game.,345,2024-04-10,2023-12-29,2023-12-29,RPG,The Elder Scrolls Online
15,Team Strategy Analysis,Looking for an analyst to review and improve our team's in-game strategies.,678,2024-04-15,2023-12-30,2023-12-30,MOBA,Heroes of the Storm
16,Speedrun Assistance,Need a skilled player to assist in achieving a speedrun record in a game.,901,2024-05-01,2023-12-31,2023-12-31,Platformer,Super Mario Odyssey
17,In-Game Photography,Hiring a photographer to capture stunning in-game moments and screenshots.,2345,2024-05-15,2024-01-01,2024-01-01,Simulation,Stardew Valley
18,E-sports Team Recruitment,Recruiting skilled players for our professional e-sports team.,6789,2024-06-01,2024-01-02,2024-01-02,FPS,Overwatch
19,Streaming Partnership,Looking for gaming influencers to partner with for live streaming collaborations.,123456,2024-07-15,2024-01-05,2024-01-05,Various,Various
20,PvP Coaching,Seeking a coach to improve my player versus player (PvP) skills in a game.,5678,2024-08-01,2024-01-08,2024-01-08,MOBA,Smite
21,Dungeon Run Assistance,Need assistance completing difficult dungeon runs in a multiplayer game.,3456,2024-08-15,2024-01-10,2024-01-10,RPG,Final Fantasy XV
22,In-Game Merchandise Trading,Looking for someone to facilitate in-game item trading and transactions.,7890,2024-09-01,2024-01-12,2024-01-12,MMO,Elder Scrolls Online
23,Co-op Campaign Partner,Searching for a cooperative partner to play through the campaign of a game.,12345,2024-09-15,2024-01-15,2024-01-15,Action-Adventure,Assassin's Creed Valhalla
24,Boss Battle Assistance,Need a skilled player to help defeat challenging bosses in a game.,67890,2024-10-01,2024-01-18,2024-01-18,Action RPG,Dark Souls III
25,Custom Game Modding,Looking for a modder to create custom game modifications and enhancements.,34567,2024-10-15,2024-01-20,2024-01-20,Simulation,Cities: Skylines
26,Map Exploration Partner,Seeking a partner to explore in-game maps and discover hidden locations.,8901,2024-11-01,2024-01-22,2024-01-22,Open World,Red Dead Redemption 2
27,VR Gaming Assistance,Need assistance and guidance in virtual reality (VR) gaming experiences.,23456,2024-11-15,2024-01-25,2024-01-25,VR,Half-Life: Alyx
28,In-Game Fashion Consultant,Hiring a consultant to help create stylish in-game character outfits and looks.,78901,2024-12-01,2024-01-28,2024-01-28,MMO,Black Desert Online
29,Speed Gaming Tournament Partner,Looking for a partner to participate in speed gaming tournaments.,1234567,2024-12-15,2024-02-01,2024-02-01,Various,Various
30,Quest Design Collaboration,Seeking collaboration with a creative individual to design in-game quests.,345678,2025-01-01,2024-02-05,2024-02-05,RPG,The Witcher 3: Wild Hunt
31,Game Lore Researcher,Hiring a researcher to explore and document the lore of a specific game universe.,890123,2025-01-15,2024-02-08,2024-02-08,Various,Various
32,Help with Genshin Impact achievements, I'm stuck on a few achievements in Genshin Impact and need help completing them., 45, 2024-02-01, 2023-12-21, 2023-12-21, RPG, Genshin Impact
33,E-sports Analyst Role,Seeking a pro gamer with analytical skills to join our e-sports team as an analyst.,1234567,2024-10-15,2024-01-20,2024-01-20,FPS,Rainbow Six Siege
34,Pro-Gamer Tournament Participation,Seeking a skilled pro gamer to represent our team in an upcoming tournament.,3456,2024-08-15,2024-01-10,2024-01-10,FPS,Counter-Strike: Global Offensive
35,PvE Challenge,Challenging pro gamers to conquer difficult player versus environment (PvE) content.,8901234,2025-02-01,2024-02-05,2024-02-05,MMO,Final Fantasy XIV
36,Top-Rank Boosting,Need a pro gamer to boost my account to the top rank in a competitive game.,34567890,2025-03-15,2024-02-15,2024-02-15,FPS,Valorant
37,Virtual Reality Gameplay Showcase,Collaborate with a pro gamer to showcase virtual reality gameplay experiences.,89012345,2025-06-01,2024-02-28,2024-02-28,Various,Various
38,Top-tier PvP Coaching,Seeking a pro-gamer coach to reach the top tier in player versus player (PvP).,6789012,2025-01-01,2024-01-22,2024-01-22,MOBA,League of Legends
39,VR Gaming Experience Creator,Hiring someone to create immersive virtual reality gaming experiences.,8765,2025-01-01,2024-02-01,2024-02-01,VR,Beat Saber
40,Speed Leveling Service,Need a pro gamer to quickly level up my character in an RPG.,12345,2024-09-30,2024-01-18,2024-01-18,RPG,The Witcher 3: Wild Hunt
41,Endgame Raid Assistance,Looking for skilled players to help with endgame raids in an MMO.,3456,2024-08-31,2024-01-12,2024-01-12,MMO,World of Warcraft
42,VR Horror Experience Testing,Testing a virtual reality horror experience and seeking feedback from gamers.,5432,2025-04-15,2024-03-30,2024-03-30,Horror,Until Dawn VR
43,E-sports Sports Team Coaching,Offering coaching services for e-sports teams specializing in sports games.,76543,2025-05-15,2024-04-10,2024-04-10,Sports,Rocket League
44,Horror Game Live Stream Collaboration,Collaborate with us for a live stream event featuring our horror game.,444,2025-03-01,2024-03-15,2024-03-15,Horror,Resident Evil Village
44,Open World Exploration Guide,Seeking a pro gamer to create a comprehensive guide for exploring vast open-world game environments.,10987,2025-08-01,2024-04-04,2024-04-04,Open World,The Legend of Zelda: Breath of the Wild
45,Speed Gaming Challenge,Looking for a pro gamer to complete a speed gaming challenge in a fast-paced action game.,5432,2025-03-01,2024-02-15,2024-02-15,Action,Devil May Cry 5
46,RPG Storyline Advisor,Need a pro gamer to provide input and advice on RPG storyline development.,345678,2025-05-15,2024-03-12,2024-03-12,RPG,Various RPGs
47,Mobile Game Strategy Guide,Need a pro gamer to create a comprehensive strategy guide for a popular mobile game.,1234567,2025-07-15,2024-03-25,2024-03-25,Mobile,Mobile Legends: Bang Bang
48,Help with Genshin Impact achievements,I'm stuck on a few achievements in Genshin Impact and need help completing them.,45,2024-02-01,2023-12-21,2023-12-21,RPG,Genshin Impact
49,AR Gaming Experience Tester,Testing augmented reality (AR) gaming experiences and seeking feedback from pro gamers.,21098,2025-06-15,2024-03-15,2024-03-15,AR,Pokemon GO
50,Competitive Puzzle Solving,Seeking a pro gamer to participate in competitive puzzle-solving challenges.,901234,2025-09-15,2024-04-10,2024-04-10,Puzzle,Tetris Effect
