id,project_id,project_name,project_desc,user_id,deadline,project_category,imgUrl
"1,1,""Tutoring Game Mobile Legends"",""Membantu pemain Mobile Legends meningkatkan skill dan rank"",1,2023-12-25T00:00:00Z,""Moba"",""https://i.imgur.com/5y377j3.jpg"""
"2,2,""Joki Akun Mobile Legends"",""Membantu pemain Mobile Legends menaikkan rank dengan akun yang disediakan"",1,2023-12-30T00:00:00Z,""Moba"",""https://i.imgur.com/1815742.jpg"""
"3,3,""Ginding Hero Mobile Legends"",""Membantu pemain Mobile Legends mendapatkan hero-hero yang diinginkan"",1,2023-01-05T00:00:00Z,""Moba"",""https://i.imgur.com/5y377j3.jpg"""
"4,4,""Tutoring Game Dota 2"",""Membantu pemain Dota 2 meningkatkan skill dan rank"",2,2023-12-25T00:00:00Z,""Moba"",""https://i.imgur.com/1815742.jpg"""
"5,5,""Joki Akun Dota 2"",""Membantu pemain Dota 2 menaikkan rank dengan akun yang disediakan"",2,2023-12-30T00:00:00Z,""Moba"",""https://i.imgur.com/5y377j3.jpg"""
"6,6,""Ginding Hero Dota 2"",""Membantu pemain Dota 2 mendapatkan hero-hero yang diinginkan"",2,2023-01-05T00:00:00Z,""Moba"",""https://i.imgur.com/1815742.jpg"""
"7,7,""Tutoring Game Genshin Impact"",""Membantu pemain Genshin Impact meningkatkan skill dan menyelesaikan misi"",3,2023-12-25T00:00:00Z,""RPG"",""https://i.imgur.com/5y377j3.jpg"""
"8,8,""Joki Akun Genshin Impact"",""Membantu pemain Genshin Impact mendapatkan item-item langka"",3,2023-12-30T00:00:00Z,""RPG"",""https://i.imgur.com/1815742.jpg"""
"9,9,""Ginding Adventure Rank Genshin Impact"",""Membantu pemain Genshin Impact meningkatkan Adventure Rank"",3,2023-01-05T00:00:00Z,""RPG"",""https://i.imgur.com/5y377j3.jpg"""
"10,10,""Tutoring Game Call of Duty: Mobile"",""Membantu pemain Call of Duty: Mobile meningkatkan keterampilan dan rank"",4,""2023-12-25T00:00:00Z"",""FPS"",""https://i.imgur.com/1815742.jpg"""
"11,11,""Boosting Rank PUBG Mobile"",""Meningkatkan rank pemain PUBG Mobile dengan cepat"",4,""2023-12-30T00:00:00Z"",""BattleRoyal"",""https://i.imgur.com/5y377j3.jpg"""
"12,12,""Escape Room Puzzle Services"",""Menyediakan bantuan dan solusi untuk pemain yang kesulitan dalam puzzle games"",5,""2023-01-05T00:00:00Z"",""Puzzle"",""https://i.imgur.com/1815742.jpg"""
"13,13,""In-Game Soccer Coaching"",""Memberikan pelatihan dan strategi dalam permainan sepak bola virtual"",6,""2023-12-25T00:00:00Z"",""Sports"",""https://i.imgur.com/5y377j3.jpg"""
"14,14,""Horror Game Companion"",""Menemani pemain selama bermain game horor untuk meningkatkan pengalaman"",7,""2023-12-30T00:00:00Z"",""Horor"",""https://i.imgur.com/1815742.jpg"""
"15,15,""Open World Exploration Guide"",""Memandu pemain dalam menjelajahi dunia terbuka game mereka"",8,""2023-01-05T00:00:00Z"",""OpenWorld"",""https://i.imgur.com/5y377j3.jpg"""
